feature,coefficient,abs_coefficient
text__produto muito,-1.4500447037096313,1.4500447037096313
text__apesar,-1.4495337095347798,1.4495337095347798
text__produto chegou,-1.4480474391807483,1.4480474391807483
text__outra,-1.4475307466555525,1.4475307466555525
text__estou,-1.4464296184807686,1.4464296184807686
text__tudo conforme,-1.4455980502910695,1.4455980502910695
text__ouve,1.4448468212472922,1.4448468212472922
text__perfeita ordem,1.4437200635502885,1.4437200635502885
text__da loja,-1.443496009080734,1.443496009080734
text__que chegou,1.44322730994392,1.44322730994392
text__para,1.4425354260068683,1.4425354260068683
text__original,-1.442136849980992,1.442136849980992
text__tamanho ideal,1.4406148714655052,1.4406148714655052
text__até antes,-1.439753534354905,1.439753534354905
text__falta,-1.4390724387407399,1.4390724387407399
text__boa compra,-1.4372914761619606,1.4372914761619606
text__macia,1.4370352056068882,1.4370352056068882
text__só não,-1.4368707404453105,1.4368707404453105
text__foi dado,1.4347833365632374,1.4347833365632374
text__que comprei,1.43383794337885,1.43383794337885
text__perfeitos,1.4327990347183457,1.4327990347183457
text__competência,1.4314631645133045,1.4314631645133045
text__recomendo chegou,-1.4293840207652997,1.4293840207652997
text__ta,1.4289286699199013,1.4289286699199013
text__funciona,-1.4281951538092754,1.4281951538092754
text__entregue conforme,-1.4269080466394626,1.4269080466394626
text__pequeno,-1.4218672547124709,1.4218672547124709
text__com entrega,-1.4217850478476972,1.4217850478476972
text__para retirar,1.4217191738443402,1.4217191738443402
text__veio tudo,-1.4159824101512168,1.4159824101512168
tab__cat__product_category_main_christmas_supplies,-1.4143502131116639,1.4143502131116639
text__fornecedor,1.4141766481557512,1.4141766481557512
text__foto recomendo,1.4123445543972717,1.4123445543972717
text__meu pedido,-1.4120004607882766,1.4120004607882766
text__dias depois,1.4114061066271437,1.4114061066271437
text__carteira,1.4101142608535915,1.4101142608535915
text__lancheira,1.4080289479003816,1.4080289479003816
text__esta,-1.405384839400568,1.405384839400568
text__tentar,1.4009225816067055,1.4009225816067055
text__preço ótimo,1.398275610498325,1.398275610498325
text__ótimas,1.3969077580504947,1.3969077580504947
text__ser muito,1.3965886588217533,1.3965886588217533
text__ocorreu antes,1.394983620993781,1.394983620993781
text__prazo muito,-1.394956707290237,1.394956707290237
text__so chegou,1.3935381559126983,1.3935381559126983
text__os outros,1.39243293861901,1.39243293861901
text__avaliar produto,1.3921679176332802,1.3921679176332802
text__preço,1.3915119515792262,1.3915119515792262
tab__cat__product_category_main_industry_commerce_and_business,-1.387226058563763,1.387226058563763
text__só um,1.3871836079224016,1.3871836079224016
text__resposta,1.3871226766358036,1.3871226766358036
text__chegou certinho,-1.381839945588624,1.381839945588624
text__solta,1.3816876620116316,1.3816876620116316
text__razoavel,1.3806519944960327,1.3806519944960327
text__muito mais,1.378975503024469,1.378975503024469
text__do atendimento,1.377198055881462,1.377198055881462
text__na data,1.375891869827467,1.375891869827467
text__veio dentro,1.3753114598107266,1.3753114598107266
text__dias,-1.3735139028270693,1.3735139028270693
text__de 15,1.373243632667383,1.373243632667383
text__soltos,1.3731049915270954,1.3731049915270954
text__imaginei,1.3713765935259687,1.3713765935259687
text__bola,1.3698688612349827,1.3698688612349827
text__lindo,1.369183169459391,1.369183169459391
text__capinha,1.3673424479064993,1.3673424479064993
text__manual,1.3671286299500034,1.3671286299500034
text__do site,1.3657703093536446,1.3657703093536446
text__que imaginava,1.3655884166928627,1.3655884166928627
text__com certeza,-1.3655426271453939,1.3655426271453939
text__ruim,-1.3647631015343973,1.3647631015343973
text__serviços,1.3628215253588967,1.3628215253588967
text__solteiro,1.3605421392396726,1.3605421392396726
text__ou,-1.3602234571532539,1.3602234571532539
text__mas veio,1.3578904032695136,1.3578904032695136
text__que por,1.3576064853230612,1.3576064853230612
text__correta,-1.3572024167642578,1.3572024167642578
text__de instruções,1.3566476457981642,1.3566476457981642
text__que,1.3562590196672566,1.3562590196672566
text__muito do,-1.3514352336181237,1.3514352336181237
text__gostei dos,1.3510569110428878,1.3510569110428878
text__minha,-1.3501417409096326,1.3501417409096326
text__mas acredito,1.3462251675021,1.3462251675021
text__meus,-1.346208899225562,1.346208899225562
text__deixar,1.3458470815473076,1.3458470815473076
text__produto comprado,1.343747191601607,1.343747191601607
text__recebi no,1.3426208741596513,1.3426208741596513
text__esperava um,1.3411374829930482,1.3411374829930482
text__conforme anúncio,1.3388344981456615,1.3388344981456615
text__não atendeu,1.336342926974507,1.336342926974507
text__excelente entregue,1.3357358655625644,1.3357358655625644
text__quatro,1.3346979167912065,1.3346979167912065
text__pois,-1.3270648006238592,1.3270648006238592
text__determinado,-1.3261416357465818,1.3261416357465818
text__04,1.3254330867469966,1.3254330867469966
text__tal,1.3229465678606407,1.3229465678606407
text__de otima,-1.3201177295770912,1.3201177295770912
tab__cat__customer_state_AP,1.318843397751779,1.318843397751779
text__tecido,-1.3164520709630911,1.3164520709630911
text__caro,-1.3151877242700745,1.3151877242700745
text__entregue muito,-1.3151329614804448,1.3151329614804448
text__atenção,1.3137730348665744,1.3137730348665744
text__super rápida,1.3103431217139765,1.3103431217139765
text__recomendo vendedor,-1.3100811177666227,1.3100811177666227
text__entregue antes,1.3090654358187563,1.3090654358187563
text__mandei,1.308338385700198,1.308338385700198
text__foi enviado,1.3082086072673598,1.3082086072673598
text__havia,1.3078000433490342,1.3078000433490342
text__muito obrigado,-1.3077313105947268,1.3077313105947268
text__facilmente,1.303618176591683,1.303618176591683
text__cortina,1.3027313036933446,1.3027313036933446
text__para dia,1.3016360630794896,1.3016360630794896
text__no site,-1.2986630726654502,1.2986630726654502
text__agora nada,1.2965446846472595,1.2965446846472595
text__que buscar,1.2963883188280658,1.2963883188280658
text__satisfação,-1.2960368271599432,1.2960368271599432
text__me informar,1.2959332360065707,1.2959332360065707
text__peças,1.2957533547809859,1.2957533547809859
text__comprei veio,1.2942344283703187,1.2942344283703187
text__tapete de,1.2941718888568212,1.2941718888568212
text__eu recomendo,1.2898351843248115,1.2898351843248115
text__me deu,1.28899492039021,1.28899492039021
text__perfume,-1.2870385564860127,1.2870385564860127
tab__cat__seller_state_mode_RN,-1.2860681755480825,1.2860681755480825
text__de três,1.285785012304912,1.285785012304912
text__prazo preço,1.285486516860548,1.285486516860548
text__adorei muito,1.284881268841637,1.284881268841637
text__tipo,1.284624829098839,1.284624829098839
text__otima qualidade,1.2831155324876782,1.2831155324876782
text__eu precisava,1.2820648862969668,1.2820648862969668
text__no momento,1.2810205159173798,1.2810205159173798
text__verdade,1.2802158014667009,1.2802158014667009
text__da data,-1.2788535366031937,1.2788535366031937
text__bom recomendo,1.2787664853861884,1.2787664853861884
text__produto qualidade,1.2760595765071197,1.2760595765071197
text__entrega sempre,1.2759474937018183,1.2759474937018183
text__02,1.2756709466126164,1.2756709466126164
tab__cat__customer_state_RR,-1.2717526344340493,1.2717526344340493
text__pela qualidade,1.2714978109005042,1.2714978109005042
text__kit,1.2704310052778214,1.2704310052778214
text__conforme descrito,1.269509784537903,1.269509784537903
text__hora de,1.268770690992285,1.268770690992285
text__mas so,1.2677416566514206,1.2677416566514206
text__queria,1.267676310089874,1.267676310089874
text__prazo excelente,-1.2676358658359133,1.2676358658359133
text__satisfeita com,-1.2674649474466304,1.2674649474466304
text__até mesmo,1.2639487846768214,1.2639487846768214
text__ordem,1.2637990831428763,1.2637990831428763
text__boa,1.2606428833454837,1.2606428833454837
text__ponta,1.2603877736389362,1.2603877736389362
text__com nota,1.25910858489824,1.25910858489824
text__frete,-1.2579775024448159,1.2579775024448159
